bra;5;5
ita;5;4
deu;5;4
arg;5;3
ury;5;2
fra;5;2
gbr;5;1
esp;5;1
usa;5;0
urs;5;0
chn;5;0
swe;5;0
aus;5;0
jpn;5;0
can;5;0
nor;5;0
rus;5;0
hun;5;0
gdr;5;0
nld;5;0
fin;5;0
kor;5;0
che;5;0
aut;5;0
pol;5;0
rou;5;0
cub;5;0
frg;5;0
bgr;5;0
dnk;5;0
bel;5;0
tch;5;0
nzl;5;0
ukr;5;0
eua;5;0
eun;5;0
grc;5;0
ken;5;0
tur;5;0
cze;5;0
blr;5;0
roc;5;0
zaf;5;0
jam;5;0
irn;5;0
yug;5;0
kaz;5;0
mex;5;0
prk;5;0
eth;5;0
hrv;5;0
aze;5;0
svn;5;0
uzb;5;0
geo;5;0
est;5;0
svk;5;0
tpe;5;0
irl;5;0
egy;5;0
ind;5;0
tha;5;0
idn;5;0
col;5;0
prt;5;0
lva;5;0
mng;5;0
ltu;5;0
srb;5;0
nga;5;0
mar;5;0
zzx;5;0
arm;5;0
dza;5;0
isr;5;0
tto;5;0
ven;5;0
phl;5;0
tun;5;0
oar;5;0
bhs;5;0
chl;5;0
dom;5;0
mys;5;0
hkg;5;0
kgz;5;0
uga;5;0
anz;5;0
pur;5;0
pak;5;0
ecu;5;0
lie;5;0
mda;5;0
qat;5;0
scg;5;0
bhr;5;0
ru1;5;0
zwe;5;0
tjk;5;0
cmr;5;0
sgp;5;0
civ;5;0
gha;5;0
grd;5;0
kos;5;0
lux;5;0
nam;5;0
per;5;0
vnm;5;0
ain;5;0
boh;5;0
bwa;5;0
cri;5;0
fji;5;0
isl;5;0
jor;5;0
lbn;5;0
pan;5;0
sau;5;0
syr;5;0
gtm;5;0
kwt;5;0
smr;5;0
zmb;5;0
iop;5;0
afg;5;0
alb;5;0
ber;5;0
bwi;5;0
bdi;5;0
cyp;5;0
hti;5;0
moz;5;0
ner;5;0
mkd;5;0
lca;5;0
lka;5;0
sur;5;0
tza;5;0
are;5;0
ioa;5;0
brb;5;0
bfa;5;0
cpv;5;0
dji;5;0
dma;5;0
eri;5;0
gab;5;0
guy;5;0
irq;5;0
mus;5;0
mne;5;0
aho;5;0
pry;5;0
eor;5;0
wsm;5;0
sen;5;0
sdn;5;0
tgo;5;0
ton;5;0
tkm;5;0
isv;5;0
ago;5;0
and;5;0
atg;5;0
ben;5;0
bgd;5;0
bih;5;0
blz;5;0
bol;5;0
btn;5;0
brn;5;0
caf;5;0
cod;5;0
cog;5;0
com;5;0
fsm;5;0
gin;5;0
gmb;5;0
gnb;5;0
gnq;5;0
hnd;5;0
khm;5;0
kir;5;0
kna;5;0
lao;5;0
lbr;5;0
lby;5;0
lso;5;0
mco;5;0
mdg;5;0
mdv;5;0
mhl;5;0
mli;5;0
mlt;5;0
mmr;5;0
mrt;5;0
mwi;5;0
nic;5;0
npl;5;0
nru;5;0
omn;5;0
plw;5;0
png;5;0
rwa;5;0
slb;5;0
sle;5;0
slv;5;0
som;5;0
ssd;5;0
stp;5;0
swz;5;0
syc;5;0
tcd;5;0
tls;5;0
tuv;5;0
vat;5;0
vct;5;0
vut;5;0
yem;5;0
