afg;6;507
ago;6;956
alb;6;317
and;6;132
are;6;448
arg;6;1041
arm;6;307
atg;6;238
aus;6;833
aut;6;412
aze;6;359
bdi;6;634
bel;6;429
ben;6;596
bfa;6;481
bgd;6;663
bgr;6;405
bhr;6;317
bhs;6;326
bih;6;318
blr;6;312
blz;6;583
bol;6;1446
bra;6;1864
brb;6;265
brn;6;468
btn;6;666
bwa;6;581
caf;6;737
can;6;615
che;6;384
chl;6;493
chn;6;1330
civ;6;723
cmr;6;951
cod;6;1155
cog;6;656
col;6;1917
com;6;145
cpv;6;153
cri;6;895
cub;6;368
cyp;6;356
cze;6;383
deu;6;484
dji;6;342
dma;6;227
dnk;6;461
dom;6;291
dza;6;388
ecu;6;1684
egy;6;480
eri;6;570
esp;6;550
est;6;288
eth;6;852
fin;6;424
fji;6;164
fra;6;522
fsm;6;161
gab;6;659
gbr;6;562
geo;6;308
gha;6;741
gin;6;666
gmb;6;554
gnb;6;490
gnq;6;466
grc;6;433
grd;6;152
gtm;6;742
guy;6;805
hnd;6;739
hrv;6;369
hti;6;277
hun;6;370
idn;6;1791
ind;6;1271
irl;6;411
irn;6;527
irq;6;410
isl;6;307
isr;6;526
ita;6;484
jam;6;300
jor;6;422
jpn;6;593
kaz;6;494
ken;6;1127
kgz;6;353
khm;6;545
kir;6;79
kna;6;218
kor;6;420
kwt;6;357
lao;6;721
lbn;6;374
lbr;6;593
lby;6;331
lca;6;227
lie;6;242
lka;6;479
lso;6;321
ltu;6;260
lux;6;284
lva;6;327
mar;6;440
mco;6;35
mda;6;241
mdg;6;278
mdv;6;167
mex;6;1137
mhl;6;99
mkd;6;337
mli;6;619
mlt;6;357
mmr;6;1090
mne;6;381
mng;6;404
moz;6;717
mrt;6;540
mus;6;136
mwi;6;662
mys;6;787
nam;6;646
ner;6;507
nga;6;926
nic;6;716
nld;6;447
nor;6;444
npl;6;870
nru;6;55
nzl;6;363
omn;6;480
pak;6;658
pan;6;981
per;6;1892
phl;6;647
plw;6;165
png;6;780
pol;6;424
prk;6;360
prt;6;513
pry;6;707
qat;6;287
rou;6;364
rus;6;712
rwa;6;683
sau;6;471
sdn;6;955
sen;6;631
sgp;6;440
slb;6;280
sle;6;645
slv;6;522
smr;6;22
som;6;665
srb;6;381
ssd;6;820
stp;6;142
sur;6;711
svk;6;347
svn;6;352
swe;6;452
swz;6;505
syc;6;236
syr;6;395
tcd;6;554
tgo;6;631
tha;6;987
tjk;6;357
tkm;6;378
tls;6;259
ton;6;84
tto;6;454
tun;6;370
tur;6;454
tuv;6;49
tza;6;1103
uga;6;1036
ukr;6;352
ury;6;448
usa;6;1036
uzb;6;371
vat;6;1
vct;6;217
ven;6;1420
vnm;6;866
vut;6;124
wsm;6;81
yem;6;421
zaf;6;832
zmb;6;772
zwe;6;666
